"CT","mx_mean","mx_lb","mx_ub","mx_se"
231,4.87,2.41,9.03,1.7
232,5.36,2.47,9.74,1.87
233,5.75,2.85,10.62,2.01
234,6.58,3.07,12.44,2.5
235.02,6.42,3.09,11.75,2.31
235.03,7.2,2.84,14.22,2.97
236,5.83,2.74,10.97,2.12
237,5.71,2.78,11.02,2.13
238.01,5.52,2.52,10.6,2.1
238.02,5.65,2.77,10.29,1.93
239.02,5.97,2.68,12.06,2.39
240.01,5.69,2.82,10.7,2.05
240.02,6.08,2.91,11.12,2.22
241,6.52,3.02,12.67,2.47
242,5.69,2.61,11.16,2.23
243.01,5.68,2.85,10.76,2.02
243.02,6.24,2.95,11.69,2.25
250.02,5.7,2.76,10.63,2.04
251.01,5.96,2.68,11.01,2.23
260.04,9.75,3.7,20.95,4.8
260.05,10.09,4.05,22.28,4.76
260.06,5.67,2.27,10.88,2.4
260.07,6.73,3.02,12.34,2.71
260.08,6.22,2.78,12.09,2.38
281.01,5.72,2.35,12.15,2.6
281.02,5.63,2.66,10.82,2.2
282.01,5.77,2.41,11.4,2.27
282.02,5.21,2.35,10.08,1.99
283,5.73,2.67,10.96,2.08
284.01,5.89,3,10.89,2.09
284.02,5.96,2.8,11.21,2.27
285.01,5.28,2.54,9.9,1.89
285.02,6.32,3.19,11.22,2.12
286.02,5.43,2.87,9.25,1.65
287.01,6.24,2.81,13.01,2.55
287.06,6.03,2.71,12.11,2.37
287.09,6.2,2.36,13.3,2.83
287.11,5.92,2.67,11.7,2.28
290.02,5.13,2.48,9.62,1.89
290.04,5.6,2.77,10.16,1.99
290.05,5.86,2.46,11.54,2.57
291.01,5.75,2.52,11.18,2.32
291.02,6.07,2.61,11.86,2.44
292.01,6.21,3.22,11.26,2.07
292.03,6.1,2.7,12.27,2.44
292.04,8.12,3.53,16.37,3.31
400.04,5.48,2.43,11.55,2.29
400.05,5.59,2.56,11.29,2.18
400.06,5.7,2.37,11.66,2.44
401.01,5.73,2.78,11,2.2
401.02,4.6,2.26,8.55,1.63
402.02,5.52,2.57,10.65,2.1
402.03,5.21,2.32,11.03,2.19
403.01,5.42,2.78,9.73,1.79
403.04,6.28,2.9,12.12,2.4
403.05,6.3,2.85,12.82,2.54
404.01,5.53,2.45,10.9,2.16
404.02,5.55,2.56,10.46,2.01
410.02,5.79,2.69,10.63,2.07
410.04,6.06,2.96,11.07,2.27
410.05,6.86,3.2,13.28,2.63
410.06,6.6,2.93,13.01,2.65
501.01,7.01,3.62,12.63,2.29
501.02,6.48,3,12.18,2.46
501.03,6.84,3.09,13.96,2.75
502.01,5.68,2.66,10.42,2.01
502.02,5.72,2.49,11.01,2.16
502.03,5.68,2.49,11.15,2.26
502.06,6.68,3.06,12.13,2.4
502.07,6.84,3.3,12.58,2.49
503.01,5.76,2.72,11.28,2.26
503.03,5.97,2.9,10.56,2
503.07,9.56,4.47,18.2,3.81
503.09,6.88,3.23,13.33,2.53
504.03,5.94,2.57,11.32,2.21
504.05,5.58,2.73,10.52,2.05
504.08,7.34,3.24,14.28,2.95
504.09,6.07,2.91,11,2.13
504.1,6.09,2.6,12.36,2.56
505.01,6.95,3.37,12.75,2.45
506.01,6.79,2.61,13.87,2.95
506.02,5.89,2.39,12.47,2.54
