"CT","mx_mean","mx_ub","mx_lb","mx_se"
502.06,67.77,113.19,38.15,19.07
502.07,53.27,81.16,33.47,12.31
503.01,82.46,154.44,37.87,30.11
503.03,63.3,96.28,40.09,14.5
503.07,90.3,130.78,58.67,18.61
503.09,78.32,122.58,47.86,18.99
504.03,51.81,91.33,27.94,16.33
504.05,48.07,72.88,30.17,10.84
504.08,38.46,65.91,19.92,12.05
504.09,76.85,118.96,47.2,18.6
504.1,63.52,112.08,33.92,20.13
505.01,44.5,72.21,26.59,11.75
506.01,78.93,145.04,37.24,27.78
506.02,100.98,158.79,60.57,25.79
