"CT","mx_mean","mx_ub","mx_lb","mx_se"
187.04,8.06,16.29,3.53,3.3
187.06,12.03,24.5,5.01,5.07
187.11,8.94,21.18,2.79,4.78
187.12,18.62,37.32,7.99,7.61
187.13,19.64,40.55,8.29,8.3
187.14,7.42,17.51,2.26,4.18
187.15,8.37,18.27,3.17,3.94
188.01,9.58,21.98,3.43,4.81
188.04,9.03,19.01,3.49,4.04
188.05,13.51,30.98,4.57,7.31
188.07,25.46,58.04,9.4,12.73
188.08,9.76,24.65,2.8,6.04
189.03,15.04,32.59,5.73,7.05
189.05,5.49,11.11,2.22,2.33
189.06,14.98,31.35,5.91,6.59
189.08,33.61,63.41,15.28,12.35
189.09,15.04,32.62,5.69,7.17
189.1,10.61,23,3.95,4.98
190.03,4.94,9.5,2.24,1.93
190.04,8.63,18.71,3.3,4.08
190.05,19.34,45.92,6.13,10.43
191.03,12,25.82,4.86,5.49
191.04,6.89,15.31,2.52,3.44
191.05,11.89,26.68,4.26,5.96
192,9.81,21.38,3.62,4.69
200,25.45,52.53,10.67,11.03
201,18.72,42.21,6.82,9.31
202,11.37,22.32,5.06,4.56
203,37.41,69.58,17.84,13.73
204.01,19.67,41.27,8,8.55
204.02,19.42,36.85,9.07,7.26
205.02,13.49,25.47,6.14,5.11
207,13.89,32.6,4.68,7.71
208,20.75,37.84,10.26,7.2
209,8.01,15.83,3.48,3.21
210,6.53,12.82,2.73,2.55
220,17.6,42.48,6,9.51
221.01,25.8,52.25,10.39,11.02
221.03,24.79,48.31,11.18,9.75
221.04,5.77,11.01,2.59,2.24
222.01,9.67,20.96,3.83,4.46
222.02,16.42,34.91,6.6,7.46
223.01,18.52,38.47,7.84,7.92
223.02,33.54,63.96,15.65,12.44
224.02,20.66,37.41,10.04,7.18
225.01,10.89,22.99,4.37,4.91
225.02,17.67,35.61,7.52,7.4
226.02,29.79,57.34,13.89,11.32
226.04,12.04,26.82,4.44,5.8
228.02,14.53,31.24,5.39,6.77
228.04,5.04,10.45,2.05,2.13
229,6.21,11.52,2.94,2.24
230.01,18.74,37.49,8.08,7.59
230.02,9.33,19.62,3.83,4.02
231,10.26,19.32,4.77,3.82
232,17.06,35.13,6.99,7.47
233,11.13,21.94,4.76,4.57
234,5.96,12.99,2.29,2.92
235.02,8.81,18.1,3.74,3.7
235.03,13.87,29.34,5.27,6.41
236,21.2,42.43,9.13,8.71
237,10.73,21.59,4.62,4.46
238.01,15.16,32.55,5.83,7.12
238.02,5.45,11.11,2.41,2.27
239.02,16.67,36.45,6.39,7.75
240.01,5.3,11.07,2.08,2.35
240.02,8.44,17.92,3.24,3.84
241,5.24,11.81,1.99,2.59
242,8.87,18.23,3.63,3.87
243.01,13.39,27.49,5.61,5.74
243.02,8.66,18.64,3.07,4.19
250.02,20.7,41.32,9.14,8.27
251.01,22.74,52.8,7.43,12.02
260.04,12.7,29.63,3.9,7.23
260.05,11.41,27.18,3.89,6.1
260.06,15.91,33.6,6.47,6.93
260.07,20.26,43.54,8.21,8.87
260.08,8.43,20.09,2.77,4.55
281.01,6.09,15.64,1.75,3.89
281.02,9.73,21.29,3.73,4.67
282.01,47.77,87.1,22.97,17.13
282.02,13.51,27.97,5.35,5.85
283,15.59,28.84,7.52,5.62
284.01,8.05,17.03,3.2,3.57
284.02,12.54,25.43,5.29,5.25
285.01,27,54.98,12.02,11.27
285.02,12.83,23.59,6.09,4.58
286.02,3.42,6.5,1.58,1.27
287.01,5.25,12.14,1.77,2.73
287.06,6.14,12.96,2.48,2.72
287.09,21.91,48.4,8.39,10.34
287.11,7.12,15.77,2.52,3.44
290.02,5.08,10.75,2.06,2.26
290.04,6.42,13.46,2.5,2.89
290.05,22.97,52.07,7.93,11.45
291.01,6.84,15.45,2.51,3.5
291.02,9.3,20.45,3.45,4.52
292.01,26.08,48.19,12.25,9.45
292.03,20,43.53,7.83,9.23
292.04,29.76,62.22,11.76,13.39
400.04,22.84,43.98,9.86,8.99
400.05,17.59,36.3,7.02,7.74
400.06,16.78,40.4,5.59,9.21
401.01,14.21,30.72,5.4,6.68
401.02,13.32,24.59,6.43,4.69
402.02,16.53,33.01,7.06,6.76
402.03,8.51,19,3.12,4.22
403.01,5.69,11.37,2.47,2.29
403.04,9.73,22.6,3.43,4.92
403.05,27.91,56.24,11.77,11.54
404.01,12.99,29.38,4.76,6.45
404.02,9.63,19.49,4.02,4.02
410.02,8.38,17.58,3.38,3.67
410.04,32.82,70.62,12.73,15.63
410.05,16.52,35.26,6.5,7.5
410.06,30.13,62.64,11.7,13.41
501.01,19.15,34.84,9.53,6.65
501.02,6.87,15.94,2.48,3.54
501.03,35.42,74.13,15.28,15.09
502.01,37.3,75.18,16.14,15.31
502.02,8.37,17.39,3.27,3.75
502.03,10.96,24.08,4.05,5.32
502.06,15.09,30.16,6.55,6.24
502.07,4.58,9.6,1.87,2.05
503.01,16.39,37.62,5.9,8.48
503.03,6.44,12.48,2.72,2.59
503.07,6.21,14.07,2.29,3.09
503.09,7.38,16.06,2.68,3.53
504.03,14.65,30.17,5.98,6.39
504.05,3.96,8.61,1.47,1.93
504.08,5.29,12.95,1.7,3.16
504.09,5.5,13.07,1.77,2.98
504.1,5.44,13.41,1.63,3.2
505.01,5.25,11.54,1.92,2.5
506.01,6.05,15.89,1.68,3.83
506.02,4.26,10.73,1.36,2.51
