"CT","mx_mean","mx_lb","mx_ub","mx_se"
40.02,47.58,32.16,68.41,9.15
41.01,47.38,31.3,66.92,9.49
41.02,38.95,26.77,54.96,7.18
42,40.84,28.6,57.3,7.34
43.02,39.44,26.53,55.7,7.67
44,39.2,26.86,55.07,7.12
45.01,45.01,29.57,65.57,9.22
45.02,44.37,30.29,63.01,8.64
46,46.55,30.72,68.08,9.56
47.01,46.5,32.65,65.33,8.73
48,40.6,26.43,59.74,8.54
49.01,56.56,36.99,85,12.24
49.02,45.56,30.31,64.95,9.29
50.02,60,43.87,81.59,9.8
50.03,87.1,58.81,124.25,16.81
50.04,69.92,46.43,100.55,13.97
51.01,50.65,35.59,71.77,9.52
51.02,54.2,36.56,76.69,10.12
52.01,50.89,36.35,70.26,8.85
52.02,51.18,35.12,71.21,9.14
53.01,59.47,40.34,82.89,10.93
53.02,50.25,33.35,73.87,10.62
54.01,67.16,51.61,87.88,9.19
54.02,56.3,38.88,79.25,10.41
55.01,73.29,51.58,100.68,12.84
55.02,65.54,44.04,95.89,13.07
56.02,72.34,49.48,101.5,13.38
57.02,55.16,40.72,73.19,8.51
59.06,110.49,78.31,147.82,17.85
59.07,50.84,33.61,74.55,10.35
59.09,61.14,41.19,88.39,12.55
59.1,74.61,50.01,106.4,15.13
59.11,114.2,78.87,159.47,21.14
60.02,45.45,30.46,66.22,9.15
61,36.1,23.66,53.18,7.86
62,40.23,27.95,55.36,7.07
64,44.79,31.52,60.71,7.55
65,56.52,40.66,76.34,9.16
67.01,51.62,34.66,73.26,9.74
68,49.67,34.73,68.78,8.57
69.02,51.41,37.03,70.15,8.56
100.01,87.76,62.55,121.26,15.45
100.02,56.45,38.66,81.66,11.19
101.03,46.58,32.06,65.05,8.83
101.04,42.25,28.55,60.93,8.23
101.06,45.96,31.94,63.75,8.31
103,35.3,24.55,48.69,6
104,49.78,34.79,68.59,9.22
110.02,45.16,25.95,75.85,13.13
110.03,50.18,31.76,75.3,11.61
110.04,48.62,29.68,76.77,11.99
111.02,57.46,38.22,84.07,11.6
111.05,69.71,44.92,100.95,14.41
111.07,60.11,37.62,92.22,14.18
112,60.76,40.26,88.43,12.01
113,50.3,35.86,68.83,8.56
114.01,47.19,28.29,75.38,11.8
114.02,77.07,50.34,115.67,16.57
115,64.28,43.3,91.73,12.41
116,39.88,26.13,59.22,8.55
117,43.4,29.9,61.36,7.92
118,45.82,32.44,63.3,7.88
120,43.05,28.3,62.7,8.65
121,55.28,37.19,79.73,11.12
122,40.32,26.09,58.31,8.28
130.03,44.21,31.84,59.45,7.13
131,44.1,33.14,56.65,6.16
132,47.77,31.39,69.16,9.8
133.01,43.46,26.58,65.82,10.35
133.02,37.44,24.03,55.37,7.88
134,45.51,31.59,66.55,8.73
135,43.04,28.05,59.16,8.31
140.02,43.94,30.51,61.39,7.9
140.03,55.41,37.54,80.03,10.38
140.04,48.47,30.85,74.37,11.05
141.01,53.46,37.1,74.84,9.99
142.01,41.95,28.43,61.89,8.51
142.02,47.44,32.36,69.07,9.9
142.03,41.47,27.94,59.61,8.07
143.01,39.79,25.58,63.92,9.56
143.02,48.86,34.8,66.45,8.32
143.03,46.2,31.08,65.99,8.84
144.04,53.11,34.94,76.19,10.73
144.06,48.26,33.39,66.39,8.6
145.01,44.14,30.46,61.7,7.8
145.02,36.38,22.73,54.35,8.03
146,44.55,30.3,63.35,8.71
147.01,35.88,24.47,50.51,6.83
147.09,55.24,38.46,77.88,9.84
148,67.65,49.29,90.23,10.73
149.02,48.37,30.45,73.26,11.01
149.05,49.63,33.54,73.36,10.27
149.08,44.43,30.36,65.75,8.88
149.09,44.69,29.59,65.48,9.2
150,57.43,38.92,85.3,11.97
151.03,52.56,35.92,76.1,10.15
151.05,51.43,35.14,73.61,9.88
151.07,45.84,32.79,61.94,7.63
151.08,38.17,25.19,55.4,7.99
160.01,45.88,29.98,68.55,10.2
160.02,40.27,27.95,56.9,7.5
160.03,48.45,33.26,68.31,8.93
160.04,44.89,30.69,65.38,8.68
161.02,53.98,36,77.2,10.61
161.03,57.15,38.58,80.92,11.11
161.05,52.09,35.4,73.96,9.99
161.06,66.06,44.3,96.81,13.37
161.08,51.69,31.79,78.08,12.01
161.09,63.07,43.77,87.47,11.2
162.01,59.43,41.2,82.26,10.42
162.02,49.22,33.06,71.97,9.98
162.03,56.1,37.8,80.15,10.66
162.04,48.02,32.65,69.78,9.48
163.01,48.41,31.65,73.99,11.08
163.04,56.14,36.6,84.14,12.03
163.05,50.97,34.47,72.64,9.96
163.06,45.54,30.47,67.12,9.48
163.07,55.84,38.86,79.05,10.44
163.08,50.86,33.53,73.41,10.86
170.03,34.48,24.64,46.75,5.73
170.04,44.35,31.7,61.06,7.37
170.05,37.01,25.98,51.3,6.65
170.07,49.43,36.95,65.95,7.52
180.01,48.77,32.22,72.12,9.89
180.04,35.75,24.8,50.72,6.55
181.03,41.44,27.9,59.02,8.21
181.05,43.06,31.8,58.83,6.71
181.07,34.86,22.5,51.87,7.58
181.08,44.7,28.88,66.26,9.67
181.09,40.53,28.57,55.13,7.16
181.11,36.95,25.6,51.39,6.68
181.12,37.14,24.04,54.1,7.89
181.13,38.84,28.43,52.71,6.2
181.14,42.05,27.39,62.66,8.72
181.16,36.8,25.65,51.31,6.77
182.01,43.03,30.43,61.15,7.61
182.04,45.3,30.93,64.73,8.55
182.05,51.61,35.86,73.25,9.77
183.01,46.77,31.33,68.11,9.55
183.03,56.49,38.81,78.66,10.13
183.05,47.15,32.15,68.26,9.19
183.06,48.15,33.11,66.44,8.49
183.07,47.94,31.7,70.61,9.63
184.02,56.36,39.62,77.82,9.79
184.06,54.81,35.86,78.09,11.09
184.07,60.16,42.85,81.94,10.45
184.08,50.11,33.42,72.65,10.12
184.09,49.7,32.34,73.44,10.75
184.1,56.19,36.72,83.12,11.91
184.11,54.91,35.11,81.44,12.09
184.12,53.34,32.05,87.66,13.87
184.13,44.86,28.25,72.17,11.14
184.14,44.02,27.42,70.49,11.09
184.15,58.28,37.26,83.48,11.8
184.16,50.62,33.25,73.91,10.73
185.05,63.82,40.08,98.5,14.72
185.07,46.81,31.68,68.77,9.28
185.08,47.58,30.91,72.78,10.74
185.09,50.35,34.79,70.83,9.19
185.1,51.11,33.92,77.82,10.82
185.11,53.07,35.84,77.54,10.46
185.12,52.75,35.49,76.47,10.76
185.15,65.4,44.49,92.48,12.52
