"CT","mx_mean","mx_lb","mx_ub","mx_se"
501.01,16.33,11.22,22.94,3.03
501.02,11.7,6.35,20.42,3.52
501.03,21.42,11.54,35.92,6.38
502.01,13.84,7.59,22.99,4.15
502.02,15.67,8.92,26.17,4.49
502.03,18.08,9.74,31.54,5.64
502.06,17.68,10.38,28.74,4.73
502.07,13.96,9.03,20.26,2.97
503.01,15.66,7.71,27.72,5.1
503.03,19.43,13.03,29.59,4.07
503.07,33.8,22.11,49.45,7.1
503.09,21.47,12.54,34.32,5.7
504.03,16.55,10.08,26.45,4.36
504.05,19.61,13.21,29.11,4.07
504.08,10.27,5.75,17.35,2.98
504.09,14.28,8.92,21.94,3.42
504.1,18.98,10.18,33.69,6.16
505.01,14.88,9.24,22.43,3.47
506.01,22.72,11.26,42.7,8.35
506.02,31.75,19.18,49.09,7.7
