"CT","mx_mean","mx_ub","mx_lb","mx_se"
410.04,36.37,71.13,16.98,13.97
410.05,34.7,67.8,16.45,13.56
410.06,51.52,103.67,23.95,20.25
501.01,69.91,109.95,41.68,17.54
501.02,36.77,65.8,18.45,12.77
501.03,46.78,90.69,21.22,17.97
502.01,33.74,65.65,15.49,13.44
502.02,32.87,59.94,16.25,11.36
502.03,50.68,93.72,24.33,18.5
502.06,37.75,68.07,19.19,12.79
502.07,37.95,61.21,21.28,10.53
503.01,53.15,105.57,23.48,21.44
503.03,43.04,72.35,24.1,12.44
503.07,65.73,106.85,37.94,17.95
503.09,49.43,85.86,25.52,15.32
504.03,38.11,70.09,18.59,13.27
504.05,56.26,89.36,32.98,14.52
504.08,28.51,53.65,13.79,10.33
504.09,45.66,80.64,23.01,14.77
504.1,58.67,108.52,25.61,21.62
505.01,33.29,56.77,17.94,10.22
506.01,44.08,93.13,18.16,19.36
506.02,49.1,87.32,24.29,16.44
