"CT","mx_mean","mx_lb","mx_ub","mx_se"
228.02,23.49,12.33,40.49,7.54
228.04,33.62,22.72,47.81,6.62
229,51.01,35.77,71.68,9.2
230.01,29.42,16.77,47.76,7.81
230.02,38.64,23.7,60.98,9.62
231,20.65,13.2,30.65,4.59
232,25.19,13.19,43,7.67
233,28.19,17.29,43.16,6.61
234,73.23,49.82,103.16,14.18
235.02,20.94,11.94,33.99,5.66
235.03,22.48,12.35,39.03,6.89
236,22.28,12.14,38.22,6.62
237,16.86,9.56,26.59,4.42
238.01,18.99,9.72,33.73,6.04
238.02,30.96,20.53,44.84,6.36
239.02,34.59,17.73,61.22,11.3
240.01,17.29,10.33,27.03,4.19
240.02,25.83,15.5,41.15,6.91
241,19.53,12.08,31.16,4.91
242,19.99,11,33.67,5.56
243.01,18.4,10.17,30.76,5.43
243.02,19.01,9.95,32.42,5.96
250.02,16.1,8.74,27.01,4.68
251.01,29.07,11.09,65.14,14.01
260.04,20.16,8.16,46.71,9.63
260.05,36.37,18.81,67.52,12.31
260.06,14.02,7.39,24.75,4.44
260.07,27.73,15.08,46.95,7.84
260.08,22.82,10.38,45.7,9.36
281.01,20.52,9.37,38.31,7.57
281.02,20.28,10.78,35.75,6.51
282.01,19.05,9.96,32.86,6.02
282.02,20.06,10.56,34.98,6.36
283,46.13,30.03,67.45,9.29
284.01,17.09,9.68,28.51,4.78
284.02,14.45,7.8,24.69,4.48
285.01,26.99,13.3,50.72,9.65
285.02,53.46,35.77,77.51,10.74
286.02,25.57,18.18,34.99,4.4
287.01,25.27,13.42,43.83,7.8
287.06,25.53,15.8,39.52,5.99
287.09,15.3,7.22,29.87,5.59
287.11,13.26,6.7,23.09,4.37
290.02,35.73,24.54,51.19,6.84
290.04,17.76,10.04,29.72,5.03
290.05,24.92,10.57,49.44,10.41
291.01,21.78,12.1,35.87,6.23
291.02,22.4,12.14,39.72,6.82
292.01,17.14,10.02,27.8,4.67
292.03,16.19,7.67,32.05,6.16
292.04,25.49,12.06,47.83,9.39
400.04,21.68,11.99,37.67,6.58
400.05,17.22,8.74,31.53,5.81
400.06,19.58,8.19,39.16,8.06
401.01,33.24,18.68,54.47,8.72
401.02,29.64,19.28,43.91,6.14
402.02,33.1,20.11,48.98,7.66
402.03,31.32,18.98,47.63,7.66
403.01,46.61,30.29,66.9,9.2
403.04,29.08,16.17,49.8,8.68
403.05,30.45,16.35,52.63,9.61
404.01,28.03,15.4,48.71,8.47
404.02,25.06,15.23,40.66,6.5
410.02,18.42,10.85,29.08,4.57
410.04,23.25,10.76,45.57,8.75
410.05,19.35,9.9,35.05,6.47
410.06,25.5,11.88,49.32,9.75
501.01,36.71,25.09,53.19,7.09
501.02,32.87,18.8,53.79,9.26
501.03,44.1,22.97,76.77,13.53
502.01,22.5,11.29,44.03,8.5
502.02,30.4,17.89,48.62,7.93
502.03,25.39,13.66,45.06,8.34
502.06,27.56,15.8,46.57,7.92
502.07,22.45,14.39,33.09,4.94
503.01,19.32,8.45,40.17,8.32
503.03,23.79,15.47,36.19,5.32
503.07,33.64,22.21,48.63,6.97
503.09,29.54,18.25,45.04,7.1
504.03,29.95,17.07,50.51,8.57
504.05,43.05,29.38,60.65,7.98
504.08,14.54,7.71,25.8,4.74
504.09,24.17,14.09,37.58,6.07
504.1,26.32,14.12,45.81,8.38
505.01,39.23,26.01,57.88,8.34
506.01,31.19,15.32,58.9,11.79
506.02,116.84,79.11,166.36,23.22
