"CT","mx_mean","mx_ub","mx_lb","mx_se"
184.08,14.99,27.92,7.08,5.4
184.09,14.29,27.48,6.73,5.4
184.1,13.68,26.36,6.29,5.06
184.11,14.01,25.95,6.56,5.11
184.12,14.54,27.76,6.78,5.44
184.13,15.08,28.33,7.07,5.47
184.14,16.42,31.14,7.41,6.32
184.15,13.34,25.43,6.37,4.92
184.16,13.53,25.42,6.38,4.97
185.05,12.63,23.21,6.08,4.42
185.07,13.46,24.61,6.81,4.64
185.08,14.35,26.87,6.75,5.27
185.09,14.31,25.92,7.31,4.74
185.1,11.07,20.8,5.13,4.1
185.11,12.87,23.75,5.93,4.56
185.12,13.42,24.18,6.72,4.49
185.15,12.91,23.75,6.37,4.54
185.16,11.71,22.21,5.48,4.27
185.17,13.78,26.15,6.39,5.1
185.18,15.05,28.02,7.21,5.36
185.19,11.46,21.79,5.14,4.25
185.2,12.53,23.32,5.85,4.54
185.21,12.02,21.16,6.15,3.84
186.01,19.21,34.92,9.23,6.78
