"CT","mx_mean","mx_ub","mx_lb","mx_se"
41.01,47.84,77.66,28.63,12.47
41.02,23.79,40.77,12.81,7.25
42,30.79,56.2,15.49,10.47
43.02,32.32,58.12,16.39,11.11
44,25.44,44.47,13.57,8.14
45.01,25.63,47.35,12.23,9.3
45.02,32.28,56.82,16.34,10.46
46,27.41,49.37,13.85,9.29
47.01,38.38,62.92,22.08,10.77
48,24.22,41.8,12.79,7.5
49.01,51.21,91.15,27.06,16.37
49.02,29.7,49.15,15.96,8.91
50.02,36.64,61.87,19.14,10.94
50.03,40.69,74.35,19.75,14.17
50.04,26.83,55.65,11.58,11.24
51.01,33.46,59.05,16.83,11.42
51.02,54.9,88.64,31.41,14.5
52.01,52.34,83.06,30.19,13.57
52.02,36,59.27,19.64,10.51
53.01,40.83,68.69,22.15,11.99
53.02,33.59,59.78,15.66,11.76
54.01,30.7,47.31,18.44,7.43
54.02,34.36,58.55,18.32,10.29
55.01,41.23,75.59,20.76,14.17
55.02,30.86,59.84,14.01,11.92
56.02,62.84,112.23,32.39,20.69
57.02,45.77,72.77,26.77,11.78
59.06,43.27,75.53,22.7,13.64
59.07,35.65,58.87,20.19,10.03
59.09,28.54,57.76,11.53,12.25
59.1,31.76,61.25,13.52,12.39
59.11,38.1,66.46,19.7,11.92
60.02,36.52,65.71,18.2,12.16
61,24.8,47.95,11.24,9.54
62,18.62,33.32,9.24,6.22
64,25.3,42.61,13.86,7.42
65,31.94,50.47,18.85,8.33
67.01,33.47,61.24,15.71,11.81
68,30.25,53.99,15.79,9.78
69.02,23.47,37.2,13.9,6.02
100.01,137.47,206.6,86.3,31.1
100.02,58.47,98.19,32.22,17.03
101.03,35.6,62.62,18.91,11.22
101.04,30.58,52.71,16.64,9.23
101.06,37.44,61.04,21.03,10.43
103,26.35,44.22,14.96,7.66
104,33.16,58.16,17.65,10.32
110.02,45.54,88.06,20.13,17.77
110.03,38.26,75.87,16.49,15.68
110.04,34.85,69.6,15.19,14.29
111.02,44.41,74.28,25.12,12.69
111.05,70.35,109.3,43.48,17.29
111.07,62.37,113.03,32.38,20.95
112,41,74.16,20.7,13.84
113,50,78.63,30.02,12.62
114.01,36.86,73.13,15.86,15.2
114.02,74.87,125.81,39.8,22.72
115,95.01,145.59,60.46,21.94
116,37.58,67.55,19.13,12.39
117,33.67,56.07,18.57,9.61
118,22,37.08,12.59,6.32
120,34.74,61.68,17.41,11.36
121,33.99,60.67,17.46,11.05
122,36.05,65.78,18.69,12.05
130.03,48.59,72.53,30.71,10.99
131,36.65,52.31,24.67,7.1
132,26.8,49.48,12.34,9.63
133.01,32.53,61.83,14.89,12.14
133.02,38.02,67.29,19.84,12.26
134,38.64,60.97,22.86,9.84
135,32.23,55.91,16.91,10.03
140.02,38.28,62.69,21.64,10.56
140.03,38.27,67.83,19.7,12.41
140.04,26.64,52.72,11.51,10.81
