CT,year,sex,ex_mean,ex_lb,ex_ub
103,1991,1,77.45,75.11,79.99
103,1991,2,85.40,82.71,88.31
103,1991,3,81.86,80.00,83.92
104,1991,1,77.14,74.79,79.40
104,1991,2,83.46,81.03,86.11
104,1991,3,80.31,78.68,82.06
110.02,1991,1,77.35,74.27,80.87
110.02,1991,2,82.77,79.69,86.94
110.02,1991,3,80.24,78.00,83.09
110.03,1991,1,76.64,73.96,79.54
110.03,1991,2,80.96,78.18,84.19
110.03,1991,3,78.89,76.92,81.03
110.04,1991,1,80.31,77.28,83.63
110.04,1991,2,87.74,83.59,92.54
110.04,1991,3,84.34,81.59,87.27
111.02,1991,1,77.09,75.04,79.55
111.02,1991,2,81.35,78.84,84.15
111.02,1991,3,79.28,77.63,81.12
111.05,1991,1,77.11,74.84,79.59
111.05,1991,2,78.79,76.44,81.37
111.05,1991,3,78.01,76.36,79.79
111.07,1991,1,74.73,72.61,77.12
111.07,1991,2,79.83,77.33,82.42
111.07,1991,3,77.53,75.74,79.56
112,1991,1,76.26,73.63,79.22
112,1991,2,80.16,77.32,83.48
112,1991,3,78.16,76.17,80.19
113,1991,1,78.53,76.51,80.94
113,1991,2,80.30,78.45,82.24
113,1991,3,79.48,78.05,81.03
114.01,1991,1,80.67,77.54,84.60
114.01,1991,2,81.69,78.56,85.50
114.01,1991,3,81.22,78.96,83.91
114.02,1991,1,74.43,72.29,76.67
114.02,1991,2,75.37,73.44,77.24
114.02,1991,3,74.84,73.47,76.27
115,1991,1,77.28,75.30,79.49
115,1991,2,80.87,79.07,82.85
115,1991,3,79.34,77.88,80.85
116,1991,1,79.63,77.33,82.89
116,1991,2,82.46,79.99,85.65
116,1991,3,81.20,79.39,83.52
117,1991,1,79.24,77.23,81.67
117,1991,2,81.60,79.28,84.01
117,1991,3,80.41,78.92,82.11
118,1991,1,78.41,76.44,80.49
118,1991,2,85.57,83.15,88.27
118,1991,3,82.04,80.45,83.68
120,1991,1,79.77,77.33,82.57
120,1991,2,81.93,79.58,84.80
120,1991,3,80.84,79.07,82.94
121,1991,1,80.08,77.76,82.70
121,1991,2,83.09,80.40,86.13
121,1991,3,81.55,79.76,83.53
122,1991,1,80.10,77.71,82.88
122,1991,2,83.36,80.74,86.84
122,1991,3,81.88,80.11,84.11
130.03,1991,1,75.73,73.92,77.70
130.03,1991,2,81.82,79.95,83.78
130.03,1991,3,79.17,77.79,80.56
131,1991,1,78.74,77.15,80.34
131,1991,2,82.49,80.99,84.00
131,1991,3,80.91,79.74,82.09
132,1991,1,80.57,78.11,83.28
132,1991,2,82.76,80.65,85.37
132,1991,3,81.65,79.98,83.52
133.01,1991,1,78.50,76.10,81.40
133.01,1991,2,82.11,79.76,84.74
133.01,1991,3,80.26,78.50,82.28
133.02,1991,1,81.44,79.09,84.16
133.02,1991,2,84.72,82.19,87.90
133.02,1991,3,83.03,81.37,85.04
134,1991,1,79.41,77.55,81.51
134,1991,2,80.12,78.55,81.77
134,1991,3,79.66,78.39,81.09
135,1991,1,80.91,78.61,83.55
135,1991,2,84.34,81.87,87.40
135,1991,3,82.58,80.83,84.62
140.02,1991,1,77.29,75.07,79.92
140.02,1991,2,82.37,79.57,85.55
140.02,1991,3,79.76,77.92,81.96
140.03,1991,1,78.76,76.27,81.66
140.03,1991,2,83.77,80.79,87.61
140.03,1991,3,80.99,78.99,83.28
140.04,1991,1,79.49,75.92,83.43
140.04,1991,2,84.70,80.76,89.80
140.04,1991,3,81.68,79.06,84.76
141.01,1991,1,76.01,73.95,78.09
141.01,1991,2,80.74,78.77,82.93
141.01,1991,3,78.54,77.08,80.13
142.01,1991,1,80.38,77.86,83.24
142.01,1991,2,81.96,79.17,85.33
142.01,1991,3,81.23,79.31,83.40
142.02,1991,1,78.86,76.40,81.58
142.02,1991,2,84.96,81.96,88.89
142.02,1991,3,81.73,79.70,83.83
142.03,1991,1,78.32,76.23,80.72
142.03,1991,2,85.28,82.54,88.51
142.03,1991,3,81.57,79.74,83.55
143.01,1991,1,80.15,77.70,83.10
143.01,1991,2,86.16,82.90,89.96
143.01,1991,3,83.77,81.47,86.51
143.02,1991,1,78.61,76.75,80.61
143.02,1991,2,82.92,81.08,84.91
143.02,1991,3,81.00,79.63,82.50
143.03,1991,1,78.82,76.42,81.54
143.03,1991,2,84.02,81.42,87.08
143.03,1991,3,81.31,79.58,83.38
144.04,1991,1,74.44,72.38,76.86
144.04,1991,2,77.91,76.12,79.87
144.04,1991,3,76.28,74.86,77.80
144.06,1991,1,79.57,77.16,82.09
144.06,1991,2,84.19,81.85,86.94
144.06,1991,3,81.98,80.18,83.91
145.01,1991,1,80.68,78.29,83.53
145.01,1991,2,86.38,83.64,89.62
145.01,1991,3,83.48,81.57,85.56
145.02,1991,1,80.94,77.92,84.46
145.02,1991,2,87.53,83.72,92.32
145.02,1991,3,83.94,81.55,86.73
146,1991,1,77.24,74.79,79.77
146,1991,2,83.00,80.37,86.08
146,1991,3,80.16,78.40,82.07
147.01,1991,1,79.09,76.78,81.85
147.01,1991,2,87.89,84.67,91.69
147.01,1991,3,83.17,81.21,85.63
147.09,1991,1,76.42,74.18,78.66
147.09,1991,2,81.58,79.17,83.94
147.09,1991,3,79.11,77.58,80.80
148,1991,1,75.52,73.53,77.66
148,1991,2,79.95,78.18,81.81
148,1991,3,77.96,76.57,79.36
149.02,1991,1,77.87,75.28,80.93
149.02,1991,2,83.29,80.38,86.61
