CT,year,sex,ex_mean,ex_lb,ex_ub
6.02,2006,2,80.14,78.33,81.94
6.02,2006,3,79.50,78.27,80.83
7.01,2006,1,83.19,81.26,85.49
7.01,2006,2,88.20,85.81,91.04
7.01,2006,3,85.97,84.31,87.85
7.02,2006,1,82.64,80.75,84.54
7.02,2006,2,85.05,83.26,86.87
7.02,2006,3,83.88,82.68,85.19
8.01,2006,1,79.15,76.45,82.27
8.01,2006,2,82.28,79.51,85.55
8.01,2006,3,80.78,78.70,83.12
8.02,2006,1,83.86,81.78,86.13
8.02,2006,2,86.16,84.14,88.52
8.02,2006,3,85.04,83.62,86.70
9,2006,1,84.18,82.37,86.24
9,2006,2,88.97,86.71,91.49
9,2006,3,86.98,85.35,88.75
10.02,2006,1,83.41,81.67,85.38
10.02,2006,2,86.32,84.35,88.48
10.02,2006,3,84.95,83.60,86.49
11,2006,1,83.33,81.08,85.96
11,2006,2,88.34,86.07,90.84
11,2006,3,86.00,84.29,87.74
13.01,2006,1,81.79,79.67,84.17
13.01,2006,2,86.59,84.42,88.97
13.01,2006,3,84.25,82.50,86.09
13.03,2006,1,82.45,80.16,85.03
13.03,2006,2,86.87,84.44,89.65
13.03,2006,3,84.79,83.02,86.70
13.04,2006,1,83.38,80.99,86.26
13.04,2006,2,87.23,84.69,90.37
13.04,2006,3,85.42,83.62,87.57
14.02,2006,1,83.35,80.99,86.06
14.02,2006,2,86.81,84.57,89.21
14.02,2006,3,85.18,83.55,87.06
15.01,2006,1,84.45,82.24,87.09
15.01,2006,2,87.32,84.93,90.12
15.01,2006,3,85.88,84.21,87.79
15.02,2006,1,80.68,78.74,82.94
15.02,2006,2,86.38,84.33,88.66
15.02,2006,3,83.72,82.27,85.37
16.01,2006,1,81.35,79.10,83.93
16.01,2006,2,87.66,85.07,90.73
16.01,2006,3,84.55,82.71,86.49
16.05,2006,1,83.71,81.25,86.41
16.05,2006,2,87.73,85.27,90.75
16.05,2006,3,85.87,84.17,87.77
17.01,2006,1,82.57,80.63,84.82
17.01,2006,2,87.13,84.76,89.79
17.01,2006,3,84.92,83.19,86.74
17.02,2006,1,82.50,80.21,84.97
17.02,2006,2,85.83,83.46,88.41
17.02,2006,3,84.23,82.47,86.05
18.02,2006,1,81.93,79.94,84.10
18.02,2006,2,86.42,84.45,88.82
18.02,2006,3,84.21,82.77,85.80
19,2006,1,80.48,78.53,82.67
19,2006,2,83.15,81.28,85.20
19,2006,3,81.94,80.61,83.44
20,2006,1,80.45,78.94,82.01
20,2006,2,84.57,83.12,86.11
20,2006,3,82.65,81.60,83.78
21,2006,1,85.16,82.88,87.83
21,2006,2,86.47,84.38,89.00
21,2006,3,85.78,84.23,87.63
23,2006,1,82.93,81.06,84.96
23,2006,2,84.98,83.19,86.96
23,2006,3,84.12,82.82,85.55
24,2006,1,85.35,83.11,87.94
24,2006,2,87.06,85.14,89.45
24,2006,3,86.19,84.67,87.86
25,2006,1,83.61,81.72,85.56
25,2006,2,85.28,83.63,87.15
25,2006,3,84.38,83.16,85.72
26,2006,1,84.03,82.03,86.27
26,2006,2,89.51,87.10,92.29
26,2006,3,87.15,85.56,88.99
27.01,2006,1,83.69,81.68,85.85
27.01,2006,2,88.24,86.04,90.64
27.01,2006,3,86.21,84.68,87.86
27.02,2006,1,81.20,79.33,83.34
27.02,2006,2,87.94,86.37,89.62
27.02,2006,3,84.94,83.57,86.29
28,2006,1,82.38,80.18,85.12
28,2006,2,86.83,84.58,89.48
28,2006,3,84.64,83.01,86.52
29,2006,1,73.77,72.02,75.45
29,2006,2,81.49,79.79,83.20
29,2006,3,77.30,76.03,78.50
30,2006,1,82.28,80.14,84.61
30,2006,2,85.27,83.06,87.60
30,2006,3,83.78,82.13,85.49
31.01,2006,1,81.86,79.76,84.28
31.01,2006,2,87.05,84.57,89.75
31.01,2006,3,84.56,82.80,86.46
31.02,2006,1,82.03,79.52,84.62
31.02,2006,2,87.11,84.68,90.09
31.02,2006,3,84.64,82.82,86.64
32,2006,1,80.12,78.07,82.31
32,2006,2,84.90,82.90,87.03
32,2006,3,82.59,81.08,84.24
33.01,2006,1,80.34,77.94,82.98
33.01,2006,2,85.91,83.33,88.72
33.01,2006,3,83.18,81.28,85.20
33.02,2006,1,80.94,78.88,83.31
33.02,2006,2,87.29,85.23,89.59
33.02,2006,3,84.10,82.53,85.87
34.02,2006,1,79.63,77.63,81.66
34.02,2006,2,83.99,81.84,86.25
34.02,2006,3,81.80,80.17,83.35
35.01,2006,1,81.64,79.38,84.15
35.01,2006,2,87.10,84.81,89.76
35.01,2006,3,84.38,82.71,86.09
35.02,2006,1,80.46,78.36,82.58
35.02,2006,2,85.54,83.55,87.77
35.02,2006,3,83.06,81.50,84.63
36.01,2006,1,80.57,78.59,82.69
36.01,2006,2,84.00,82.13,85.94
36.01,2006,3,82.34,80.94,83.74
36.02,2006,1,81.40,79.36,83.65
36.02,2006,2,86.80,84.58,89.39
36.02,2006,3,84.12,82.59,85.86
37.01,2006,1,78.44,76.03,81.03
37.01,2006,2,85.65,82.88,88.78
37.01,2006,3,82.23,80.33,84.30
37.02,2006,1,78.26,75.85,80.86
37.02,2006,2,83.67,81.07,86.66
37.02,2006,3,80.78,79.01,82.69
38,2006,1,73.95,71.90,76.19
38,2006,2,82.63,80.02,85.23
38,2006,3,78.29,76.71,79.99
39.01,2006,1,77.80,75.47,80.40
39.01,2006,2,85.74,83.01,88.64
39.01,2006,3,81.94,80.02,84.09
39.02,2006,1,72.31,70.38,74.35
39.02,2006,2,78.70,76.97,80.47
39.02,2006,3,75.87,74.53,77.25
40.01,2006,1,80.93,78.33,84.19
40.01,2006,2,87.75,85.07,91.08
40.01,2006,3,84.73,82.81,87.00
40.02,2006,1,79.18,76.97,81.51
40.02,2006,2,87.95,85.74,90.53
40.02,2006,3,84.36,82.64,86.30
41.01,2006,1,80.76,78.81,82.75
41.01,2006,2,84.24,82.48,86.07
41.01,2006,3,82.85,81.54,84.21
41.02,2006,1,75.36,72.94,77.72
41.02,2006,2,87.89,85.03,90.90
41.02,2006,3,81.48,79.44,83.50
42,2006,1,83.55,81.44,86.06
42,2006,2,87.37,85.13,90.19
42,2006,3,85.60,84.05,87.38
43.02,2006,1,85.01,82.87,87.60
43.02,2006,2,87.70,85.32,90.40
43.02,2006,3,86.37,84.78,88.21
44,2006,1,83.63,81.37,86.09
44,2006,2,87.88,85.46,90.58
44,2006,3,86.02,84.34,87.89
45.01,2006,1,82.41,79.98,85.06
45.01,2006,2,86.05,83.96,88.61
45.01,2006,3,84.26,82.57,86.06
45.02,2006,1,82.75,80.44,85.50
45.02,2006,2,85.36,83.28,87.73
45.02,2006,3,84.09,82.46,85.89
46,2006,1,80.20,77.96,82.56
46,2006,2,87.11,84.45,90.30
46,2006,3,84.07,82.27,86.12
47.01,2006,1,79.25,77.63,81.13
47.01,2006,2,83.39,81.68,85.26
47.01,2006,3,81.62,80.30,82.97
48,2006,1,79.55,77.46,81.64
48,2006,2,85.85,83.56,88.54
48,2006,3,82.92,81.32,84.56
49.01,2006,1,77.16,75.28,79.26
49.01,2006,2,80.89,79.11,82.79
49.01,2006,3,78.97,77.58,80.46
49.02,2006,1,82.11,80.10,84.28
49.02,2006,2,84.17,82.16,85.97
49.02,2006,3,83.12,81.67,84.57
50.02,2006,1,76.49,74.05,79.16
50.02,2006,2,83.38,80.80,86.09
50.02,2006,3,79.87,78.01,81.83
50.03,2006,1,76.22,73.72,79.04
50.03,2006,2,79.97,77.53,82.48
50.03,2006,3,78.00,76.24,79.86
50.04,2006,1,75.54,72.75,78.40
50.04,2006,2,83.23,80.44,86.62
50.04,2006,3,79.34,77.27,81.50
51.01,2006,1,81.38,79.01,84.17
51.01,2006,2,87.56,84.76,91.07
51.01,2006,3,84.76,82.75,87.07
51.02,2006,1,78.93,76.86,81.19
51.02,2006,2,82.70,80.95,84.74
51.02,2006,3,80.89,79.49,82.31
52.01,2006,1,78.91,77.01,81.12
52.01,2006,2,83.50,81.57,85.60
52.01,2006,3,81.31,79.93,82.87
52.02,2006,1,80.16,78.04,82.25
52.02,2006,2,84.26,82.09,86.55
52.02,2006,3,82.22,80.69,83.70
53.01,2006,1,77.25,75.12,79.63
53.01,2006,2,82.72,80.53,85.02
53.01,2006,3,79.99,78.39,81.67
53.02,2006,1,82.71,80.31,85.66
53.02,2006,2,83.89,81.76,86.33
53.02,2006,3,83.22,81.53,85.20
54.01,2006,1,67.28,65.16,69.51
54.01,2006,2,81.36,78.73,84.13
54.01,2006,3,72.63,70.81,74.52
54.02,2006,1,81.25,79.06,83.66
54.02,2006,2,86.44,84.13,89.04
54.02,2006,3,83.86,82.17,85.66
55.01,2006,1,77.36,74.79,79.97
55.01,2006,2,82.79,80.23,85.61
55.01,2006,3,80.02,78.17,82.01
55.02,2006,1,77.45,74.92,80.21
55.02,2006,2,80.81,77.88,83.84
55.02,2006,3,78.99,77.07,81.06
56.02,2006,1,76.33,73.90,79.05
56.02,2006,2,80.94,78.56,83.56
56.02,2006,3,78.62,76.85,80.63
57.02,2006,1,74.81,72.25,77.43
57.02,2006,2,84.75,82.34,87.26
57.02,2006,3,79.60,77.70,81.54
59.06,2006,1,57.27,54.60,59.94
59.06,2006,2,61.26,56.76,65.85
59.06,2006,3,57.95,55.40,60.38
59.07,2006,1,80.78,78.87,82.73
59.07,2006,2,83.44,81.67,85.24
59.07,2006,3,82.04,80.74,83.45
59.09,2006,1,73.43,70.55,76.27
59.09,2006,2,84.84,81.91,88.47
59.09,2006,3,77.57,75.33,79.93
59.1,2006,1,67.52,64.61,70.43
59.1,2006,2,84.66,81.56,88.43
59.1,2006,3,73.10,70.72,75.59
59.11,2006,1,76.46,74.11,79.03
59.11,2006,2,83.38,80.94,86.24
59.11,2006,3,79.33,77.60,81.18
60.02,2006,1,77.20,74.47,79.98
60.02,2006,2,84.56,82.14,87.26
60.02,2006,3,80.43,78.46,82.51
61,2006,1,79.81,77.05,83.07
61,2006,2,87.98,85.22,91.07
61,2006,3,83.72,81.72,85.80
62,2006,1,82.20,79.30,85.17
62,2006,2,87.99,85.26,91.12
62,2006,3,85.22,83.15,87.45
64,2006,1,75.28,73.13,77.54
64,2006,2,85.77,83.23,88.39
64,2006,3,80.09,78.45,81.95
65,2006,1,78.38,76.40,80.28
65,2006,2,82.21,80.47,84.07
65,2006,3,80.12,78.85,81.57
67.01,2006,1,73.45,71.09,76.04
67.01,2006,2,81.58,78.83,84.52
67.01,2006,3,77.06,75.13,79.07
68,2006,1,78.88,76.36,81.42
68,2006,2,86.15,83.60,89.07
68,2006,3,82.51,80.56,84.66
69.02,2006,1,85.86,84.12,87.76
69.02,2006,2,87.88,86.31,89.72
69.02,2006,3,86.91,85.76,88.23
100.01,2006,1,74.39,72.67,76.26
100.01,2006,2,76.55,75.03,78.06
100.01,2006,3,75.50,74.30,76.71
100.02,2006,1,80.20,77.99,82.61
100.02,2006,2,84.15,81.82,86.61
100.02,2006,3,82.17,80.52,83.97
101.03,2006,1,79.48,77.23,82.00
101.03,2006,2,86.83,84.07,89.80
101.03,2006,3,83.50,81.72,85.40
101.04,2006,1,78.65,76.57,80.87
101.04,2006,2,84.26,81.89,86.70
101.04,2006,3,81.79,80.07,83.59
101.06,2006,1,80.23,78.12,82.61
101.06,2006,2,86.88,84.51,89.55
101.06,2006,3,83.84,82.21,85.54
103,2006,1,80.40,78.32,82.62
103,2006,2,87.60,85.27,90.26
103,2006,3,84.60,82.94,86.52
104,2006,1,80.67,78.69,82.72
104,2006,2,87.06,84.99,89.48
104,2006,3,83.81,82.24,85.42
110.02,2006,1,83.42,81.07,86.25
110.02,2006,2,85.29,82.89,88.16
110.02,2006,3,84.32,82.67,86.26
110.03,2006,1,80.55,78.60,82.77
110.03,2006,2,84.70,82.62,87.26
110.03,2006,3,82.69,81.27,84.36
110.04,2006,1,83.53,81.20,86.59
110.04,2006,2,88.90,85.94,92.60
110.04,2006,3,86.27,84.22,88.65
111.02,2006,1,82.74,80.97,84.73
111.02,2006,2,86.33,84.16,88.72
111.02,2006,3,84.64,83.26,86.14
111.05,2006,1,78.39,76.71,80.11
111.05,2006,2,79.86,78.21,81.60
111.05,2006,3,79.18,77.98,80.44
111.07,2006,1,78.08,76.11,80.05
111.07,2006,2,82.94,81.00,85.08
111.07,2006,3,80.54,79.02,82.10
112,2006,1,81.46,79.28,83.90
112,2006,2,86.47,83.98,89.48
112,2006,3,84.08,82.44,85.99
113,2006,1,81.20,79.34,83.19
113,2006,2,83.33,81.59,85.24
113,2006,3,82.31,81.04,83.71
114.01,2006,1,84.71,82.00,88.15
114.01,2006,2,86.52,83.94,89.83
114.01,2006,3,85.64,83.75,87.93
114.02,2006,1,79.97,78.23,81.85
114.02,2006,2,80.51,78.95,81.97
114.02,2006,3,80.09,78.96,81.29
115,2006,1,79.77,78.19,81.53
115,2006,2,81.71,80.18,83.28
115,2006,3,80.82,79.73,81.98
116,2006,1,83.23,81.29,85.44
116,2006,2,85.68,83.59,88.43
116,2006,3,84.40,82.93,86.11
117,2006,1,83.98,82.14,86.05
117,2006,2,86.71,84.56,89.02
117,2006,3,85.31,83.95,86.80
118,2006,1,84.06,82.19,86.11
118,2006,2,87.55,85.57,89.84
118,2006,3,85.99,84.60,87.40
120,2006,1,85.26,83.06,87.86
120,2006,2,87.86,85.57,90.50
120,2006,3,86.65,84.98,88.54
121,2006,1,83.02,81.14,85.17
121,2006,2,87.53,85.21,90.01
121,2006,3,85.32,83.78,87.03
122,2006,1,83.87,81.93,86.40
122,2006,2,87.67,85.47,90.45
122,2006,3,85.76,84.10,87.64
130.03,2006,1,80.29,78.49,82.09
130.03,2006,2,83.99,82.30,85.81
130.03,2006,3,82.44,81.27,83.77
131,2006,1,81.93,80.56,83.39
131,2006,2,86.70,85.25,88.21
131,2006,3,84.66,83.58,85.85
132,2006,1,84.55,82.50,86.95
132,2006,2,86.99,85.10,89.14
132,2006,3,85.79,84.35,87.31
133.01,2006,1,83.75,81.61,86.21
133.01,2006,2,86.43,84.45,88.76
133.01,2006,3,85.01,83.53,86.70
133.02,2006,1,86.40,84.28,88.79
133.02,2006,2,88.57,86.18,91.08
133.02,2006,3,87.43,85.82,89.10
134,2006,1,83.23,81.60,84.98
134,2006,2,84.08,82.75,85.55
134,2006,3,83.61,82.47,84.74
135,2006,1,84.04,82.12,86.15
135,2006,2,87.83,85.51,90.27
135,2006,3,85.93,84.53,87.61
140.02,2006,1,81.96,79.96,84.25
140.02,2006,2,86.37,84.24,88.85
140.02,2006,3,84.30,82.70,86.07
140.03,2006,1,81.43,79.36,83.93
140.03,2006,2,85.10,82.82,87.65
140.03,2006,3,83.32,81.74,85.19
140.04,2006,1,83.07,80.49,86.12
140.04,2006,2,87.36,84.55,90.75
140.04,2006,3,85.12,82.99,87.42
141.01,2006,1,80.02,78.36,81.86
141.01,2006,2,85.89,83.95,87.89
141.01,2006,3,83.19,81.92,84.59
142.01,2006,1,83.38,81.35,85.72
142.01,2006,2,86.15,83.91,88.84
142.01,2006,3,84.83,83.31,86.58
142.02,2006,1,82.01,80.14,84.14
142.02,2006,2,88.04,85.52,91.01
142.02,2006,3,84.83,83.34,86.61
142.03,2006,1,81.87,79.93,83.82
142.03,2006,2,86.65,84.52,89.07
142.03,2006,3,84.59,83.10,86.12
143.01,2006,1,84.42,82.41,86.87
143.01,2006,2,87.77,85.38,90.82
143.01,2006,3,86.14,84.55,88.03
143.02,2006,1,81.97,80.34,83.77
143.02,2006,2,84.99,83.37,86.83
143.02,2006,3,83.61,82.39,84.93
143.03,2006,1,83.38,81.29,85.81
143.03,2006,2,87.57,85.28,90.26
143.03,2006,3,85.57,83.97,87.36
144.04,2006,1,80.62,78.87,82.71
144.04,2006,2,83.64,81.99,85.35
144.04,2006,3,82.19,81.01,83.49
144.06,2006,1,84.19,82.03,86.52
144.06,2006,2,87.24,85.10,89.60
144.06,2006,3,85.80,84.17,87.49
145.01,2006,1,84.53,82.45,86.98
145.01,2006,2,88.26,86.07,90.73
145.01,2006,3,86.45,84.86,88.25
145.02,2006,1,85.27,82.91,88.39
145.02,2006,2,88.96,86.11,92.31
145.02,2006,3,87.16,85.28,89.36
146,2006,1,80.69,78.67,83.06
146,2006,2,83.62,81.59,86.00
146,2006,3,82.17,80.79,83.66
147.01,2006,1,83.13,81.16,85.28
147.01,2006,2,87.59,85.45,90.10
147.01,2006,3,85.53,83.92,87.35
147.09,2006,1,81.54,79.75,83.50
147.09,2006,2,86.58,84.75,88.63
147.09,2006,3,84.46,83.16,85.85
148,2006,1,78.51,76.73,80.22
148,2006,2,82.29,80.71,83.94
148,2006,3,80.52,79.35,81.76
149.02,2006,1,84.23,82.11,86.73
149.02,2006,2,87.42,84.98,90.14
149.02,2006,3,85.90,84.22,87.84
149.05,2006,1,83.09,80.67,86.04
149.05,2006,2,86.47,83.74,89.68
149.05,2006,3,84.99,82.93,87.25
149.08,2006,1,85.53,83.67,87.82
149.08,2006,2,87.58,85.37,90.22
149.08,2006,3,86.77,85.21,88.50
149.09,2006,1,81.02,78.80,83.68
149.09,2006,2,87.42,84.71,90.56
149.09,2006,3,84.08,82.15,86.11
150,2006,1,82.72,79.44,86.88
150,2006,2,84.60,81.27,88.71
150,2006,3,83.54,81.21,86.51
151.03,2006,1,82.10,79.60,84.96
151.03,2006,2,86.84,83.97,90.26
151.03,2006,3,84.66,82.75,86.93
151.05,2006,1,82.49,80.61,84.42
151.05,2006,2,84.00,82.35,85.89
151.05,2006,3,83.17,81.92,84.53
151.07,2006,1,83.79,81.68,85.92
151.07,2006,2,88.58,86.31,91.14
151.07,2006,3,86.34,84.80,88.05
151.08,2006,1,86.62,84.41,89.62
151.08,2006,2,89.05,86.48,92.41
151.08,2006,3,87.87,86.11,89.88
160.01,2006,1,83.29,81.39,85.68
160.01,2006,2,85.56,83.62,87.62
160.01,2006,3,84.34,82.99,85.92
160.02,2006,1,82.66,80.66,84.85
160.02,2006,2,87.98,85.79,90.49
160.02,2006,3,85.18,83.72,86.80
160.03,2006,1,80.70,79.21,82.36
160.03,2006,2,82.98,81.32,84.79
160.03,2006,3,81.93,80.72,83.19
160.04,2006,1,80.62,78.70,82.70
160.04,2006,2,84.64,82.64,86.72
160.04,2006,3,82.76,81.32,84.27
161.02,2006,1,78.50,76.57,80.55
161.02,2006,2,84.70,82.25,87.21
161.02,2006,3,81.67,80.07,83.41
161.03,2006,1,79.72,78.06,81.64
161.03,2006,2,82.23,80.69,83.86
161.03,2006,3,81.05,79.92,82.28
161.05,2006,1,81.04,79.15,83.24
161.05,2006,2,84.51,82.45,86.89
161.05,2006,3,82.87,81.39,84.56
161.06,2006,1,80.08,78.27,81.98
161.06,2006,2,83.28,81.56,85.30
161.06,2006,3,81.77,80.49,83.20
161.08,2006,1,86.59,83.76,90.50
161.08,2006,2,84.84,82.75,87.11
161.08,2006,3,85.05,83.41,86.91
161.09,2006,1,80.60,78.69,82.64
161.09,2006,2,83.31,81.74,85.10
161.09,2006,3,81.88,80.61,83.24
162.01,2006,1,81.30,79.40,83.18
162.01,2006,2,81.88,79.75,83.93
162.01,2006,3,81.64,80.20,83.19
162.02,2006,1,81.58,79.49,84.02
162.02,2006,2,82.98,81.05,85.36
162.02,2006,3,82.18,80.72,83.79
162.03,2006,1,79.19,77.12,81.56
162.03,2006,2,85.89,83.55,88.69
162.03,2006,3,82.65,81.04,84.51
162.04,2006,1,81.83,80.09,83.81
162.04,2006,2,83.24,81.37,85.24
162.04,2006,3,82.49,81.21,83.83
163.01,2006,1,81.54,79.37,84.40
163.01,2006,2,83.13,80.83,85.80
163.01,2006,3,82.24,80.61,84.14
163.04,2006,1,80.33,78.16,82.65
163.04,2006,2,83.56,81.52,85.82
163.04,2006,3,81.86,80.27,83.52
163.05,2006,1,80.13,77.94,82.63
163.05,2006,2,83.13,80.83,85.39
163.05,2006,3,81.68,79.97,83.46
163.06,2006,1,81.42,78.95,84.35
163.06,2006,2,86.19,83.34,89.42
163.06,2006,3,83.83,81.78,86.14
163.07,2006,1,78.96,76.75,81.27
163.07,2006,2,83.73,81.27,86.40
163.07,2006,3,81.36,79.66,83.12
163.08,2006,1,81.35,78.85,84.14
163.08,2006,2,83.25,81.19,85.93
163.08,2006,3,82.15,80.45,84.10
170.03,2006,1,80.45,78.40,82.66
170.03,2006,2,87.18,84.82,89.90
170.03,2006,3,84.01,82.39,85.76
170.04,2006,1,79.75,77.93,81.62
170.04,2006,2,83.97,82.30,85.84
170.04,2006,3,81.97,80.65,83.24
170.05,2006,1,77.53,75.03,80.11
170.05,2006,2,86.27,83.47,89.29
170.05,2006,3,82.23,80.47,84.12
170.07,2006,1,78.32,76.60,80.17
170.07,2006,2,81.80,80.40,83.29
170.07,2006,3,80.13,78.97,81.28
180.01,2006,1,81.07,79.16,83.16
180.01,2006,2,81.60,79.88,83.45
180.01,2006,3,81.28,79.94,82.66
180.04,2006,1,84.50,82.45,86.92
180.04,2006,2,85.75,83.58,88.12
180.04,2006,3,84.88,83.34,86.46
181.03,2006,1,80.83,78.92,82.79
181.03,2006,2,84.45,82.41,86.56
181.03,2006,3,82.70,81.22,84.23
181.05,2006,1,79.02,77.34,80.83
181.05,2006,2,85.38,83.50,87.48
181.05,2006,3,82.46,81.20,83.92
181.07,2006,1,84.60,82.32,87.25
181.07,2006,2,86.48,84.01,89.14
181.07,2006,3,85.55,83.89,87.39
181.08,2006,1,82.98,80.70,85.84
181.08,2006,2,85.48,83.03,88.30
181.08,2006,3,84.21,82.50,86.18
181.09,2006,1,82.07,80.29,83.95
181.09,2006,2,86.01,84.24,88.00
181.09,2006,3,84.15,82.83,85.52
181.11,2006,1,78.60,76.51,80.65
181.11,2006,2,85.36,82.97,88.10
181.11,2006,3,81.93,80.36,83.57
181.12,2006,1,85.95,83.38,89.03
181.12,2006,2,89.47,86.87,92.88
181.12,2006,3,87.77,85.74,89.90
181.13,2006,1,82.82,80.89,84.93
181.13,2006,2,89.10,86.85,91.51
181.13,2006,3,85.99,84.46,87.61
181.14,2006,1,81.22,78.90,83.72
181.14,2006,2,85.71,83.35,88.55
181.14,2006,3,83.47,81.87,85.21
181.16,2006,1,82.79,81.10,84.50
181.16,2006,2,85.75,84.05,87.57
181.16,2006,3,84.33,83.12,85.63
182.01,2006,1,82.97,80.58,85.99
182.01,2006,2,85.86,83.44,89.03
182.01,2006,3,84.35,82.48,86.42
182.04,2006,1,79.74,77.91,81.68
182.04,2006,2,83.25,81.33,85.35
182.04,2006,3,81.53,80.20,82.91
182.05,2006,1,82.11,79.56,85.11
182.05,2006,2,86.33,84.10,89.02
182.05,2006,3,84.13,82.45,86.16
183.01,2006,1,79.60,77.33,82.05
183.01,2006,2,83.54,81.28,86.08
183.01,2006,3,81.61,80.07,83.36
183.03,2006,1,75.35,73.57,77.22
183.03,2006,2,80.07,78.36,81.86
183.03,2006,3,77.90,76.59,79.27
183.05,2006,1,85.94,83.70,88.59
183.05,2006,2,87.00,84.91,89.42
183.05,2006,3,86.49,84.94,88.21
183.06,2006,1,76.66,74.56,78.75
183.06,2006,2,82.49,80.25,84.91
183.06,2006,3,79.74,78.23,81.39
183.07,2006,1,81.87,79.82,84.00
183.07,2006,2,84.43,82.30,86.71
183.07,2006,3,83.13,81.57,84.83
184.02,2006,1,75.94,73.92,78.32
184.02,2006,2,82.21,79.77,84.79
184.02,2006,3,79.08,77.47,80.97
184.06,2006,1,79.00,76.48,81.83
184.06,2006,2,85.19,82.53,88.02
184.06,2006,3,81.99,80.17,84.01
184.07,2006,1,78.25,76.31,80.22
184.07,2006,2,83.09,80.99,85.31
184.07,2006,3,80.95,79.54,82.51
184.08,2006,1,81.04,78.41,84.16
184.08,2006,2,85.11,82.26,88.77
184.08,2006,3,83.08,81.18,85.45
184.09,2006,1,80.01,77.42,83.15
184.09,2006,2,84.22,81.70,87.17
184.09,2006,3,82.23,80.36,84.40
184.1,2006,1,79.64,77.42,82.03
184.1,2006,2,83.78,81.55,86.52
184.1,2006,3,81.68,80.13,83.56
184.11,2006,1,79.64,77.14,82.35
184.11,2006,2,83.40,81.04,86.02
184.11,2006,3,81.50,79.87,83.26
184.12,2006,1,78.27,75.79,81.02
184.12,2006,2,82.45,80.29,84.91
184.12,2006,3,80.19,78.55,82.04
184.13,2006,1,80.31,78.12,82.81
184.13,2006,2,83.74,81.30,86.65
184.13,2006,3,81.91,80.22,83.77
184.14,2006,1,84.53,81.48,88.28
184.14,2006,2,84.77,82.29,88.00
184.14,2006,3,84.57,82.65,86.87
184.15,2006,1,81.27,78.66,84.23
184.15,2006,2,82.15,80.09,84.51
184.15,2006,3,81.56,79.95,83.31
184.16,2006,1,79.55,77.07,82.24
184.16,2006,2,84.39,81.82,87.50
184.16,2006,3,81.94,80.24,84.02
185.05,2006,1,78.00,75.77,80.64
185.05,2006,2,81.75,79.38,84.42
185.05,2006,3,79.80,78.08,81.53
185.07,2006,1,80.74,78.54,83.10
185.07,2006,2,86.62,84.10,89.88
185.07,2006,3,83.59,81.89,85.53
185.08,2006,1,81.05,78.36,84.10
185.08,2006,2,87.24,84.12,91.13
185.08,2006,3,83.82,81.63,86.14
185.09,2006,1,79.63,77.36,82.29
185.09,2006,2,83.62,81.08,86.47
185.09,2006,3,81.83,80.01,84.09
185.1,2006,1,83.23,80.60,86.70
185.1,2006,2,85.78,83.08,89.10
185.1,2006,3,84.59,82.48,86.87
185.11,2006,1,80.63,78.23,83.37
185.11,2006,2,87.36,84.48,90.41
185.11,2006,3,84.12,82.10,86.18
185.12,2006,1,80.04,77.83,82.47
185.12,2006,2,84.25,81.80,86.90
185.12,2006,3,82.08,80.48,83.80
185.15,2006,1,78.45,76.10,80.84
185.15,2006,2,82.26,79.91,84.96
185.15,2006,3,80.34,78.70,82.05
185.16,2006,1,79.88,77.44,82.77
185.16,2006,2,84.93,82.13,88.14
185.16,2006,3,82.39,80.52,84.43
185.17,2006,1,82.59,80.20,85.29
185.17,2006,2,86.29,83.69,89.62
185.17,2006,3,84.50,82.72,86.58
185.18,2006,1,81.01,78.52,83.83
185.18,2006,2,86.01,83.70,88.91
185.18,2006,3,83.55,81.81,85.45
185.19,2006,1,80.56,78.00,83.39
185.19,2006,2,84.66,82.16,87.93
185.19,2006,3,82.61,80.85,84.69
185.2,2006,1,84.00,81.01,87.61
185.2,2006,2,87.73,84.60,91.90
185.2,2006,3,85.84,83.38,88.70
185.21,2006,1,81.40,79.43,83.50
185.21,2006,2,87.00,84.57,89.77
185.21,2006,3,84.31,82.67,86.05
186.01,2006,1,78.77,76.55,81.24
186.01,2006,2,83.23,81.01,85.67
186.01,2006,3,80.94,79.23,82.69
186.02,2006,1,76.27,74.00,78.68
186.02,2006,2,82.91,80.52,85.61
186.02,2006,3,79.41,77.75,81.33
186.05,2006,1,78.82,76.59,81.16
186.05,2006,2,86.05,83.28,89.12
186.05,2006,3,82.51,80.71,84.40
186.06,2006,1,80.34,77.77,83.15
186.06,2006,2,85.50,82.63,88.81
186.06,2006,3,82.92,80.89,84.99
186.07,2006,1,80.69,78.18,83.51
186.07,2006,2,85.19,82.69,88.22
186.07,2006,3,82.86,81.01,84.86
186.08,2006,1,77.69,75.37,80.46
186.08,2006,2,82.85,80.47,85.79
186.08,2006,3,80.14,78.33,82.16
187.03,2006,1,78.62,76.54,80.82
187.03,2006,2,82.68,80.28,85.44
187.03,2006,3,80.64,78.96,82.41
187.04,2006,1,76.84,74.88,78.85
187.04,2006,2,79.44,77.75,81.23
187.04,2006,3,78.08,76.80,79.41
187.06,2006,1,82.66,80.49,85.00
187.06,2006,2,85.50,83.42,87.79
187.06,2006,3,84.14,82.66,85.85
187.11,2006,1,80.76,78.52,83.51
187.11,2006,2,82.89,80.70,85.39
187.11,2006,3,81.85,80.14,83.68
